"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"6928","-62.509434","127.0.0.1","127.0.0.1","TCP","68","60471 > 59640 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1361430549 TSecr=0 SACK_PERM=1",""
"6929","-62.509321","127.0.0.1","127.0.0.1","TCP","68","59640 > 60471 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=32 TSval=1361430549 TSecr=1361430549 SACK_PERM=1",""
"6930","-62.509296","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1 Ack=1 Win=408288 Len=0 TSval=1361430549 TSecr=1361430549",""
"6931","-62.509279","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 59640 > 60471 [ACK] Seq=1 Ack=1 Win=408288 Len=0 TSval=1361430549 TSecr=1361430549",""
"6932","-62.506977","127.0.0.1","127.0.0.1","TCP","71","59640 > 60471 [PSH, ACK] Seq=1 Ack=1 Win=408288 Len=15 TSval=1361430551 TSecr=1361430549","Type: connect\\r\\n"
"6933","-62.506950","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1 Ack=16 Win=408256 Len=0 TSval=1361430551 TSecr=1361430551",""
"6934","-62.506283","127.0.0.1","127.0.0.1","TCP","147","59640 > 60471 [PSH, ACK] Seq=16 Ack=1 Win=408288 Len=91 TSval=1361430551 TSecr=1361430551","V8-Version: 3.9.24.29\\r\\nProtocol-Version: 1\\r\\nEmbedding-Host: titanium\\r\\nContent-Length: 0\\r\\n\\r\\n"
"6935","-62.506252","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=1 Ack=107 Win=408192 Len=0 TSval=1361430551 TSecr=1361430551",""
"6944","-62.471074","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=1 Ack=107 Win=408192 Len=14 TSval=1361430584 TSecr=1361430551","Content-Length"
"6945","-62.471039","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=107 Ack=15 Win=408256 Len=0 TSval=1361430584 TSecr=1361430584",""
"6946","-62.471023","127.0.0.1","127.0.0.1","TCP","109","60471 > 59640 [PSH, ACK] Seq=15 Ack=107 Win=408192 Len=53 TSval=1361430584 TSecr=1361430584",":46\\r\\n\\r\\n{""seq"":1,""type"":""request"",""command"":""version""}"
"6947","-62.471015","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=107 Ack=68 Win=408224 Len=0 TSval=1361430584 TSecr=1361430584",""
"6952","-62.351105","127.0.0.1","127.0.0.1","TCP","77","59640 > 60471 [PSH, ACK] Seq=107 Ack=68 Win=408224 Len=21 TSval=1361430685 TSecr=1361430584","Content-Length: 712\\r\\n"
"6953","-62.351079","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=68 Ack=128 Win=408160 Len=0 TSval=1361430685 TSecr=1361430685",""
"6954","-62.312370","127.0.0.1","127.0.0.1","TCP","930","59640 > 60471 [PSH, ACK] Seq=128 Ack=68 Win=408224 Len=874 TSval=1361430718 TSecr=1361430685","\\r\\n{""seq"":0,""type"":""event"",""event"":""break"",""body"":{""invocationText"":""function Module(id, parent, context) {\\n\\tthis.id = id;\\n\\tthis.exports = {};\\n\\tthis.parent = parent;\\n\\tthis.context = context;\\n\\n\\tthis.filename = null;\\n\\tthis.loaded = false;\\n\\tt"
"6955","-62.312345","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=68 Ack=1002 Win=407296 Len=0 TSval=1361430718 TSecr=1361430718",""
"6988","-62.224907","127.0.0.1","127.0.0.1","TCP","70","60471 > 59640 [PSH, ACK] Seq=68 Ack=1002 Win=407296 Len=14 TSval=1361430788 TSecr=1361430718","Content-Length"
"6989","-62.224882","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1002 Ack=82 Win=408192 Len=0 TSval=1361430788 TSecr=1361430788",""
"6990","-62.224869","127.0.0.1","127.0.0.1","TCP","63","60471 > 59640 [PSH, ACK] Seq=82 Ack=1002 Win=407296 Len=7 TSval=1361430788 TSecr=1361430788",":80\\r\\n\\r\\n"
"6991","-62.224853","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1002 Ack=89 Win=408192 Len=0 TSval=1361430788 TSecr=1361430788",""
"6992","-62.224843","127.0.0.1","127.0.0.1","TCP","136","60471 > 59640 [PSH, ACK] Seq=89 Ack=1002 Win=407296 Len=80 TSval=1361430788 TSecr=1361430788","{""seq"":2,""type"":""request"",""command"":""backtrace"",""arguments"":{""inlineRefs"":true}}"
"6993","-62.224835","127.0.0.1","127.0.0.1","TCP","56","59640 > 60471 [ACK] Seq=1002 Ack=169 Win=408128 Len=0 TSval=1361430788 TSecr=1361430788",""
"6994","-62.213776","127.0.0.1","127.0.0.1","TCP","78","59640 > 60471 [PSH, ACK] Seq=1002 Ack=169 Win=408128 Len=22 TSval=1361430798 TSecr=1361430788","Content-Length: 1981\\r\\n"
"6995","-62.213752","127.0.0.1","127.0.0.1","TCP","56","60471 > 59640 [ACK] Seq=169 Ack=1024 Win=407264 Len=0 TSval=1361430798 TSecr=1361430798",""
