"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"83","0.607732","127.0.0.1","127.0.0.1","TCP","68","60025 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459032570 TSecr=0 SACK_PERM=1",""
"84","0.607771","127.0.0.1","127.0.0.1","TCP","44","59876 > 60025 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"119","1.611905","127.0.0.1","127.0.0.1","TCP","68","60042 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459033568 TSecr=0 SACK_PERM=1",""
"120","1.611934","127.0.0.1","127.0.0.1","TCP","44","59876 > 60042 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"153","2.615980","127.0.0.1","127.0.0.1","TCP","68","60059 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459034565 TSecr=0 SACK_PERM=1",""
"154","2.616011","127.0.0.1","127.0.0.1","TCP","44","59876 > 60059 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"187","3.620308","127.0.0.1","127.0.0.1","TCP","68","60076 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459035565 TSecr=0 SACK_PERM=1",""
"188","3.620329","127.0.0.1","127.0.0.1","TCP","44","59876 > 60076 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"221","4.622029","127.0.0.1","127.0.0.1","TCP","68","60093 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459036558 TSecr=0 SACK_PERM=1",""
"222","4.622054","127.0.0.1","127.0.0.1","TCP","44","59876 > 60093 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"255","5.627489","127.0.0.1","127.0.0.1","TCP","68","60110 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459037557 TSecr=0 SACK_PERM=1",""
"256","5.627517","127.0.0.1","127.0.0.1","TCP","44","59876 > 60110 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"292","6.632029","127.0.0.1","127.0.0.1","TCP","68","60127 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459038554 TSecr=0 SACK_PERM=1",""
"293","6.632049","127.0.0.1","127.0.0.1","TCP","44","59876 > 60127 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"330","7.637113","127.0.0.1","127.0.0.1","TCP","68","60144 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459039555 TSecr=0 SACK_PERM=1",""
"331","7.637137","127.0.0.1","127.0.0.1","TCP","44","59876 > 60144 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"401","8.639200","127.0.0.1","127.0.0.1","TCP","68","60168 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459040547 TSecr=0 SACK_PERM=1",""
"402","8.639223","127.0.0.1","127.0.0.1","TCP","44","59876 > 60168 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"438","9.644173","127.0.0.1","127.0.0.1","TCP","68","60185 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459041550 TSecr=0 SACK_PERM=1",""
"439","9.644197","127.0.0.1","127.0.0.1","TCP","44","59876 > 60185 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"472","10.647640","127.0.0.1","127.0.0.1","TCP","68","60202 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459042545 TSecr=0 SACK_PERM=1",""
"473","10.647694","127.0.0.1","127.0.0.1","TCP","44","59876 > 60202 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"506","11.652020","127.0.0.1","127.0.0.1","TCP","68","60219 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459043547 TSecr=0 SACK_PERM=1",""
"507","11.652045","127.0.0.1","127.0.0.1","TCP","44","59876 > 60219 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"540","12.656149","127.0.0.1","127.0.0.1","TCP","68","60236 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459044542 TSecr=0 SACK_PERM=1",""
"541","12.656180","127.0.0.1","127.0.0.1","TCP","44","59876 > 60236 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"574","13.659925","127.0.0.1","127.0.0.1","TCP","68","60253 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459045541 TSecr=0 SACK_PERM=1",""
"575","13.659946","127.0.0.1","127.0.0.1","TCP","44","59876 > 60253 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"611","14.663367","127.0.0.1","127.0.0.1","TCP","68","60270 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459046537 TSecr=0 SACK_PERM=1",""
"612","14.663392","127.0.0.1","127.0.0.1","TCP","44","59876 > 60270 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"717","15.667709","127.0.0.1","127.0.0.1","TCP","68","60291 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459047528 TSecr=0 SACK_PERM=1",""
"718","15.667732","127.0.0.1","127.0.0.1","TCP","44","59876 > 60291 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"751","16.671021","127.0.0.1","127.0.0.1","TCP","68","60308 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459048525 TSecr=0 SACK_PERM=1",""
"752","16.671046","127.0.0.1","127.0.0.1","TCP","44","59876 > 60308 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"785","17.674944","127.0.0.1","127.0.0.1","TCP","68","60325 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459049523 TSecr=0 SACK_PERM=1",""
"786","17.674972","127.0.0.1","127.0.0.1","TCP","44","59876 > 60325 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"819","18.677901","127.0.0.1","127.0.0.1","TCP","68","60342 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459050518 TSecr=0 SACK_PERM=1",""
"820","18.677930","127.0.0.1","127.0.0.1","TCP","44","59876 > 60342 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"853","19.681694","127.0.0.1","127.0.0.1","TCP","68","60359 > 59876 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459051518 TSecr=0 SACK_PERM=1",""
"854","19.681724","127.0.0.1","127.0.0.1","TCP","44","59876 > 60359 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
"887","20.685103","127.0.0.1","127.0.0.1","TCP","68","60376 > 59876 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16344 WS=32 TSval=1459052514 TSecr=0 SACK_PERM=1",""
"888","20.685130","127.0.0.1","127.0.0.1","TCP","44","59876 > 60376 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",""
