"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"9241","248.602486","::1","::1","TCP","88","59958 > 58485 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=16324 WS=32 TSval=1076556135 TSecr=0 SACK_PERM=1",""
"9242","248.602588","::1","::1","TCP","88","58485 > 59958 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16324 WS=32 TSval=1076556135 TSecr=1076556135 SACK_PERM=1",""
"9243","248.602610","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=1 Ack=1 Win=407776 Len=0 TSval=1076556135 TSecr=1076556135",""
"9244","248.602630","::1","::1","TCP","76","[TCP Window Update] 58485 > 59958 [ACK] Seq=1 Ack=1 Win=407776 Len=0 TSval=1076556135 TSecr=1076556135",""
"9245","248.619666","::1","::1","TCP","100","58485 > 59958 [PSH, ACK] Seq=1 Ack=1 Win=407776 Len=24 TSval=1076556152 TSecr=1076556135","21*1496073159530*version"
"9246","248.619714","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=1 Ack=25 Win=407776 Len=0 TSval=1076556152 TSecr=1076556152",""
"9247","248.620747","::1","::1","TCP","100","59958 > 58485 [PSH, ACK] Seq=1 Ack=25 Win=407776 Len=24 TSval=1076556153 TSecr=1076556152","21*1496073159530*2*5.5.1"
"9248","248.620785","::1","::1","TCP","76","58485 > 59958 [ACK] Seq=25 Ack=25 Win=407776 Len=0 TSval=1076556153 TSecr=1076556153",""
"9249","248.627838","::1","::1","TCP","99","58485 > 59958 [PSH, ACK] Seq=25 Ack=25 Win=407776 Len=23 TSval=1076556160 TSecr=1076556153","20*1496073159531*update"
"9250","248.627881","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=25 Ack=48 Win=407744 Len=0 TSval=1076556160 TSecr=1076556160",""
"9251","248.628189","::1","::1","TCP","98","59958 > 58485 [PSH, ACK] Seq=25 Ack=48 Win=407744 Len=22 TSval=1076556160 TSecr=1076556160","19*1496073159531*3.6.0"
"9252","248.628214","::1","::1","TCP","76","58485 > 59958 [ACK] Seq=48 Ack=47 Win=407744 Len=0 TSval=1076556160 TSecr=1076556160",""
"9253","248.629635","::1","::1","TCP","124","58485 > 59958 [PSH, ACK] Seq=48 Ack=47 Win=407744 Len=48 TSval=1076556161 TSecr=1076556160","45*1496073159532*option*stepFiltersEnabled*false"
"9254","248.629669","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=47 Ack=96 Win=407680 Len=0 TSval=1076556161 TSecr=1076556161",""
"9255","248.629983","::1","::1","TCP","92","59958 > 58485 [PSH, ACK] Seq=47 Ack=96 Win=407680 Len=16 TSval=1076556161 TSecr=1076556161","13*1496073159532"
"9256","248.630013","::1","::1","TCP","76","58485 > 59958 [ACK] Seq=96 Ack=63 Win=407712 Len=0 TSval=1076556161 TSecr=1076556161",""
"9257","248.630434","::1","::1","TCP","115","58485 > 59958 [PSH, ACK] Seq=96 Ack=63 Win=407712 Len=39 TSval=1076556161 TSecr=1076556161","36*1496073159533*option*monitorXHR*true"
"9258","248.630470","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=63 Ack=135 Win=407648 Len=0 TSval=1076556161 TSecr=1076556161",""
"9259","248.630682","::1","::1","TCP","92","59958 > 58485 [PSH, ACK] Seq=63 Ack=135 Win=407648 Len=16 TSval=1076556162 TSecr=1076556161","13*1496073159533"
"9260","248.630706","::1","::1","TCP","76","58485 > 59958 [ACK] Seq=135 Ack=79 Win=407712 Len=0 TSval=1076556162 TSecr=1076556162",""
"9261","248.631641","::1","::1","TCP","124","58485 > 59958 [PSH, ACK] Seq=135 Ack=79 Win=407712 Len=48 TSval=1076556162 TSecr=1076556162","45*1496073159534*option*suspendOnFirstLine*false"
"9262","248.631684","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=79 Ack=183 Win=407616 Len=0 TSval=1076556162 TSecr=1076556162",""
"9263","248.632011","::1","::1","TCP","92","59958 > 58485 [PSH, ACK] Seq=79 Ack=183 Win=407616 Len=16 TSval=1076556163 TSecr=1076556162","13*1496073159534"
"9264","248.632040","::1","::1","TCP","76","58485 > 59958 [ACK] Seq=183 Ack=95 Win=407680 Len=0 TSval=1076556163 TSecr=1076556163",""
"9265","248.632525","::1","::1","TCP","125","58485 > 59958 [PSH, ACK] Seq=183 Ack=95 Win=407680 Len=49 TSval=1076556163 TSecr=1076556163","46*1496073159535*option*suspendOnExceptions*false"
"9266","248.632560","::1","::1","TCP","76","59958 > 58485 [ACK] Seq=95 Ack=232 Win=407552 Len=0 TSval=1076556163 TSecr=1076556163",""
