"No.","Time","Source","Destination","Protocol","Length","Info","New Column"
"164","4.609738","::1","::1","TCP","125","49934 > 51146 [PSH, ACK] Seq=1 Ack=1 Win=12712 Len=49 TSval=1457495013 TSecr=1457479045","46*1497318964851*breakpoint*remove*app:/app.js*11"
"165","4.609773","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=1 Ack=50 Win=12710 Len=0 TSval=1457495013 TSecr=1457495013",""
"166","4.609999","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=1 Ack=50 Win=12710 Len=24 TSval=1457495013 TSecr=1457495013","21*1497318964851*removed"
"167","4.610029","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=50 Ack=25 Win=12711 Len=0 TSval=1457495013 TSecr=1457495013",""
"200","5.365310","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=50 Ack=25 Win=12711 Len=56 TSval=1457495767 TSecr=1457495013","53*1497318964852*breakpoint*create*app:/app.js*11*1*0**1"
"201","5.365356","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=25 Ack=106 Win=12708 Len=0 TSval=1457495767 TSecr=1457495767",""
"202","5.365676","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=25 Ack=106 Win=12708 Len=24 TSval=1457495767 TSecr=1457495767","21*1497318964852*created"
"203","5.365707","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=106 Ack=49 Win=12710 Len=0 TSval=1457495767 TSecr=1457495767",""
"236","6.536805","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=106 Ack=49 Win=12710 Len=56 TSval=1457496925 TSecr=1457495767","53*1497318964853*breakpoint*create*app:/app.js*15*1*0**1"
"237","6.536838","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=49 Ack=162 Win=12706 Len=0 TSval=1457496925 TSecr=1457496925",""
"238","6.537146","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=49 Ack=162 Win=12706 Len=24 TSval=1457496925 TSecr=1457496925","21*1497318964853*created"
"239","6.537167","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=162 Ack=73 Win=12710 Len=0 TSval=1457496925 TSecr=1457496925",""
"304","8.048123","::1","::1","TCP","125","49934 > 51146 [PSH, ACK] Seq=162 Ack=73 Win=12710 Len=49 TSval=1457498427 TSecr=1457496925","46*1497318964854*breakpoint*remove*app:/app.js*11"
"305","8.048173","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=73 Ack=211 Win=12705 Len=0 TSval=1457498427 TSecr=1457498427",""
"306","8.048480","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=73 Ack=211 Win=12705 Len=24 TSval=1457498427 TSecr=1457498427","21*1497318964854*removed"
"307","8.048507","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=211 Ack=97 Win=12709 Len=0 TSval=1457498427 TSecr=1457498427",""
"340","9.202107","::1","::1","TCP","125","49934 > 51146 [PSH, ACK] Seq=211 Ack=97 Win=12709 Len=49 TSval=1457499574 TSecr=1457498427","46*1497318964855*breakpoint*remove*app:/app.js*15"
"341","9.202153","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=97 Ack=260 Win=12703 Len=0 TSval=1457499574 TSecr=1457499574",""
"342","9.202446","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=97 Ack=260 Win=12703 Len=24 TSval=1457499574 TSecr=1457499574","21*1497318964855*removed"
"343","9.202472","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=260 Ack=121 Win=12708 Len=0 TSval=1457499574 TSecr=1457499574",""
"408","11.439619","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=260 Ack=121 Win=12708 Len=56 TSval=1457501792 TSecr=1457499574","53*1497318964856*breakpoint*create*app:/app.js*15*1*0**1"
"409","11.439653","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=121 Ack=316 Win=12701 Len=0 TSval=1457501792 TSecr=1457501792",""
"410","11.439883","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=121 Ack=316 Win=12701 Len=24 TSval=1457501792 TSecr=1457501792","21*1497318964856*created"
"411","11.439902","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=316 Ack=145 Win=12707 Len=0 TSval=1457501792 TSecr=1457501792",""
"444","12.397829","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=316 Ack=145 Win=12707 Len=56 TSval=1457502728 TSecr=1457501792","53*1497318964857*breakpoint*create*app:/app.js*19*1*0**1"
"445","12.397869","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=145 Ack=372 Win=12700 Len=0 TSval=1457502728 TSecr=1457502728",""
"446","12.398117","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=145 Ack=372 Win=12700 Len=24 TSval=1457502728 TSecr=1457502728","21*1497318964857*created"
"447","12.398139","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=372 Ack=169 Win=12707 Len=0 TSval=1457502728 TSecr=1457502728",""
"480","13.176289","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=372 Ack=169 Win=12707 Len=56 TSval=1457503497 TSecr=1457502728","53*1497318964858*breakpoint*create*app:/app.js*21*1*0**1"
"481","13.176331","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=169 Ack=428 Win=12698 Len=0 TSval=1457503497 TSecr=1457503497",""
"482","13.176784","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=169 Ack=428 Win=12698 Len=24 TSval=1457503497 TSecr=1457503497","21*1497318964858*created"
"483","13.176832","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=428 Ack=193 Win=12706 Len=0 TSval=1457503497 TSecr=1457503497",""
"516","14.354712","::1","::1","TCP","132","49934 > 51146 [PSH, ACK] Seq=428 Ack=193 Win=12706 Len=56 TSval=1457504670 TSecr=1457503497","53*1497318964859*breakpoint*create*app:/app.js*11*1*0**1"
"517","14.354770","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=193 Ack=484 Win=12696 Len=0 TSval=1457504670 TSecr=1457504670",""
"518","14.355079","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=193 Ack=484 Win=12696 Len=24 TSval=1457504670 TSecr=1457504670","21*1497318964859*created"
"519","14.355114","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=484 Ack=217 Win=12705 Len=0 TSval=1457504670 TSecr=1457504670",""
"584","16.304577","::1","::1","TCP","125","49934 > 51146 [PSH, ACK] Seq=484 Ack=217 Win=12705 Len=49 TSval=1457506610 TSecr=1457504670","46*1497318964860*breakpoint*remove*app:/app.js*15"
"585","16.304653","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=217 Ack=533 Win=12695 Len=0 TSval=1457506610 TSecr=1457506610",""
"586","16.304982","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=217 Ack=533 Win=12695 Len=24 TSval=1457506610 TSecr=1457506610","21*1497318964860*removed"
"587","16.305005","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=533 Ack=241 Win=12704 Len=0 TSval=1457506610 TSecr=1457506610",""
"620","17.438531","::1","::1","TCP","125","49934 > 51146 [PSH, ACK] Seq=533 Ack=241 Win=12704 Len=49 TSval=1457507740 TSecr=1457506610","46*1497318964861*breakpoint*remove*app:/app.js*19"
"621","17.438578","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=241 Ack=582 Win=12693 Len=0 TSval=1457507740 TSecr=1457507740",""
"622","17.438880","::1","::1","TCP","100","51146 > 49934 [PSH, ACK] Seq=241 Ack=582 Win=12693 Len=24 TSval=1457507740 TSecr=1457507740","21*1497318964861*removed"
"623","17.438913","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=582 Ack=265 Win=12704 Len=0 TSval=1457507740 TSecr=1457507740",""
"656","18.559031","::1","::1","TCP","89","49934 > 51146 [PSH, ACK] Seq=582 Ack=265 Win=12704 Len=13 TSval=1457508855 TSecr=1457507740","10**terminate"
"657","18.559099","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=265 Ack=595 Win=12693 Len=0 TSval=1457508855 TSecr=1457508855",""
"658","18.560701","::1","::1","TCP","76","51146 > 49934 [FIN, ACK] Seq=265 Ack=595 Win=12693 Len=0 TSval=1457508856 TSecr=1457508855",""
"659","18.560733","::1","::1","TCP","76","49934 > 51146 [ACK] Seq=595 Ack=266 Win=12704 Len=0 TSval=1457508856 TSecr=1457508856",""
"660","18.567454","::1","::1","TCP","76","49934 > 51146 [FIN, ACK] Seq=595 Ack=266 Win=12704 Len=0 TSval=1457508862 TSecr=1457508856",""
"661","18.567495","::1","::1","TCP","76","51146 > 49934 [ACK] Seq=266 Ack=596 Win=12693 Len=0 TSval=1457508862 TSecr=1457508862",""
